Gene name,Accession
TY1B-PR2,YPR158W-B
TY1B-PR3,YPR158C-D
TY2A-B,YBL100W-A
TY2A-C,YCL020W
TY2A-DR1,YDR034C-C
TY2A-DR2,YDR210W-A
TY2A-DR3,YDR261W-A
TY2A-F,YFL002W-B
TY2A-GR1,YGR038C-E
TY2A-GR2,YGR161W-A
TY2A-LR1,YLR410W-A
TY2A-LR2,YLR424C-B
TY2A-OR1,YOR192C-A
TY2A-OR2,YOR343W-A
TY2B-B,YBL100W-B
TY2B-C,YCL019W
TY2B-DR1,YDR034C-D
TY2B-DR2,YDR210W-B
TY2B-DR3,YDR261W-B
TY2B-F,YFL002W-A
TY2B-GR1,YGR038C-D/YGR038C-C
TY2B-GR2,YGR161W-B
TY2B-LR1,YLR410W-B
TY2B-LR2,YLR424C-A
TY2B-OR1,YOR192C-B
TY2B-OR2,YOR343W-B
TY3A-G,YGR109W-A
TY3A-I,YIL082W
TY3B-G,YGR109W-B
TY3B-I,YIL082W-A
TY4A-H,YHL009W-A
TY4A-J,YJL114W
TY4B-H,YHL009W-B
TY4B-J,YJL113W
TY4B-P,YPL060C-A
TY5A,P25600
TY5B,P25601
TYE7,P33122
TYR1,P20049
TYS1,P36421
TYW1,Q08960
TYW3,P53177
UAF30,Q08747
UBA1,P22515
UBA2,P52488
UBA3,Q99344
UBA4,P38820
UBC1,P21734
UBC11,P52492
UBC12,P52491
UBC13,P52490
UBC4,P15731
UBC5,P15732
UBC6,P33296
UBC7,Q02159
UBC8,P28263
UBC9,P50623
UBI4,P0CG63
UBP1,P25037
UBP10,P53874
UBP11,P36026
UBP12,P39538
UBP13,P38187
UBP14,P38237
UBP15,P50101
UBP16,Q02863
UBP2,Q01476
UBP3,Q01477
UBP5,P39944
UBP6,P43593
UBP7,P40453
UBP8,P50102
UBP9,P39967
UBR1,P19812
UBR2,Q07963
UBS1,P38290
UBX2,Q04228
UBX3,Q12229
UBX4,P54730
UBX5,Q06682
UBX6,P47049
UBX7,P38349
UCC1,Q05947
UFD1,P53044
UFD2,P54860
UFD4,P33202
UFE1,P41834
UFO1,Q04511
UGA1,P17649
UGA2,P38067
UGA3,P26370
UGA4,P32837
UGO1,Q03327
UGP1,P32861
UGX2,P32772
UIP3,P39547
UIP4,Q08926
UIP5,P36137
ULA1,Q12059
ULI1,P43604
ULP1,Q02724
ULP2,P40537
ULS1,Q08562
UME1,Q03010
UME6,P39001
UMP1,P38293
UNG1,P12887
UPC2,Q12151
UPF3,P48412
UPS1,Q05776
UPS2,P35200
UPS3,Q04006
URA1,P28272
URA10,P30402
URA2,P07259
URA3,P03962
URA4,P20051
URA5,P13298
URA6,P15700
URA7,P28274
URA8,P38627
URB1,P34241
URB2,P47108
URC2,Q04411
URE2,P23202
URH1,Q04179
URK1,P27515
URM1,P40554
URN1,Q06525
USA1,Q03714
USB1,Q12208
USE1,P53146
USO1,P25386
USV1,Q12132
UTH1,P36135
UTP10,P42945
UTP11,P34247
UTP13,Q05946
UTP14,Q04500
UTP15,Q04305
UTP18,P40362
UTP20,P35194
UTP21,Q06078
UTP22,P53254
UTP23,Q12339
UTP25,P40498
UTP30,P36144
UTP4,Q06679
UTP5,Q04177
UTP6,Q02354
UTP7,P40055
UTP8,P53276
UTP9,P38882
UTR1,P21373
UTR2,P32623
UTR4,P32626
UTR5,P32630
VAB2,P40003
VAC14,Q06708
VAC17,P25591
VAC7,P53950
VAC8,P39968
VAM10,Q08474
VAM3,Q12241
VAM6,Q07468
VAM7,P32912
VAN1,P23642
VAR1,P02381
VAS1,P07806
VBA1,Q04301
VBA2,P38358
VBA3,P25594
VBA4,Q04602
VBA5,P36172
VCX1,Q99385
VEL1,P53058
VFA1,P40080
VHC1,P38329
VHR1,P40522
VHR2,P40041
VHS1,Q03785
VHS2,P40463
VHS3,Q08438
VHT1,P53241
VID22,Q05934
VID24,P38263
VID27,P40157
VID28,P40547
VID30,P53076
VIK1,Q12045
VIP1,Q06685
VLD1,P40570
VMA10,P48836
VMA11,P32842
VMA13,P41807
VMA16,P23968
VMA1,P17255
VMA21,P41806
VMA22,P38784
VMA2,P16140
VMA3,P25515
VMA4,P22203
VMA5,P31412
VMA6,P32366
VMA7,P39111
VMA8,P32610
VMA9,Q3E7B6
VMR1,P38735
VMS1,Q04311
VNX1,P42839
VOA1,P53262
VPH1,P32563
VPH2,P32341
VPS13,Q07878
VPS15,P22219
VPS16,Q03308
VPS17,P32913
VPS1,P21576
VPS20,Q04272
VPS21,P36017
VPS24,P36095
VPS25,P47142
VPS27,P40343
VPS28,Q02767
VPS29,P38759
VPS30,Q02948
VPS33,P20795
VPS34,P22543
VPS35,P34110
VPS36,Q06696
VPS38,Q05919
VPS3,P23643
VPS41,P38959
VPS45,P38932
VPS4,P52917
VPS51,P36116
VPS52,P39904
VPS53,P47061
VPS54,Q12071
VPS55,P47111
VPS5,Q92331
VPS60,Q03390
VPS61,Q03913
VPS62,P53285
VPS63,O13549
VPS64,Q03944
VPS65,O13554
VPS68,Q12016
VPS69,O13584
VPS70,P47161
VPS71,Q03433
VPS72,Q03388
VPS73,P53142
VPS74,Q06385
VPS75,P53853
VPS8,P39702
VPS9,P54787
VRG4,P40107
VRP1,P37370
VTA1,Q06263
VTC1,P40046
VTC2,P43585
VTC3,Q02725
VTC4,P47075
VTH1,P40438
VTH2,P40890
VTI1,Q04338
VTS1,Q08831
WAR1,Q03631
WBP1,P33767
WHI2,P12611
WHI3,P34761
WHI4,Q07655
WHI5,Q12416
WIP1,Q2V2P8
WRS1,Q12109
WSC2,P53832
WSC3,Q12215
WSC4,P38739
WSS1,P38838
WTM1,Q12363
WTM2,Q12206
WWM1,P43582
XBP1,P40489
XDJ1,P39102
XKS1,P42826
XPT1,P47165
XRN1,P22147
XRS2,P33301
XYL2,Q07993
YAE1,P47118
YAF9,P53930
YAH1,Q12184
YAK1,P14680
YAP1801,P38856
YAP1802,P53309
YAP1,P19880
YAP3,P38749
YAP5,P40574
YAP6,Q03935
YAP7,Q08182
YAR1,P46683
YAT1,P80235
YAT2,P40017
YBP1,P38315
YBP2,P53169
YBT1,P32386
YCF1,P39109
YCG1,Q06680
YCH1,P42937
YCK1,P23291
YCK2,P23292
YCK3,P39962
YCP4,P25349
YCS4,Q06156
YCT1,Q12235
YDC1,Q02896
YDJ1,P25491
YEA4,P40004
YEA6,P39953
YEF1,P32622
YEF3,P16521
YEH1,Q07804
YEH2,Q07950
YEL1,P34225
YEN1,P40028
YET1,P35723
YET2,Q04210
YET3,Q07451
YFH1,Q07540
YFH7,P43591
YFT2,Q06676
YGK1,P53144
YGK3,Q12222
YGP1,P38616
YHB1,P39676
YHC1,Q05900
YHC3,P47040
YHI9,P38765
YHK8,P38776
YHM2,Q04013
YHP1,Q04116
YIA6,P40556
YIF1,P53845
YIG1,Q08956
YIH1,P25637
YIM1,P28625
YIM2,P28626
YIP1,P53039
YIP3,P53633
YIP4,P53093
YIP5,P53108
YJU2,P28320
YJU3,P28321
YKE2,P52553
YKE4,P40544
YKT6,P36015
YKU70,P32807
YKU80,Q04437
YLF2,P38746
YLH47,Q06493
YMC1,P32331
YMC2,P38087
YMD8,Q03697
YME1,P32795
YME2,P32843
YML6,P51998
YMR1,P47147
YMR31,P19955
YND1,P40009
YNG1,Q08465
YNG2,P38806
YNK1,P36010
YOP1,Q12402
YOR1,P53049
YOS1,Q3E834
YOS9,Q99220
YOX1,P34161
YPC1,P38298
YPD1,Q07688
YPI1,P43587
YPK1,P12688
YPK2,P18961
YPK3,P38070
YPK9,Q12697
YPP1,P46951
YPQ1,Q12010
YPQ2,Q06328
YPR1,Q12458
YPS1,P32329
YPS3,Q12303
YPS5,P53057
YPS6,P40583
YPS7,Q06325
YPT10,P38146
YPT11,P48559
YPT1,P01123
YPT31,P38555
YPT32,P51996
YPT35,P38815
YPT52,P36018
YPT53,P36019
YPT6,Q99260
YPT7,P32939
YRA1,Q12159
YRA2,P36036
YRB1,P41920
YRB2,P40517
YRB30,P53107
YRF1-1,P0CX20
YRF1-2,P40105
YRF1-3,P0CX14
YRF1-4,O13559
YRF1-5,P0CX21
YRF1-6,P53819
YRF1-7,P0CX15
YRF1-8,P0CX22
YRM1,Q12340
YRO2,P38079
YRR1,Q12172
YSA1,Q01976
YSC83,P32792
YSC84,P32793
YSF3,P0C074
YSH1,Q06224
YSP2,Q06681
YSP3,P25036
YSR3,P23501
YSW1,P38280
YSY6,P38374
YTA12,P40341
YTA6,P40328
YTA7,P40340
YTH1,Q06102
YTM1,Q12024
YTP1,P53584
YUH1,P35127
YUR1,P26725
YVC1,Q12324
YVH1,Q02256
ZAP1,P47043
ZDS1,P50111
ZDS2,P54786
ZEO1,Q08245
ZIM17,P42844
ZIP1,P31111
ZIP2,P53061
ZNF1,P43551
ZPR1,P53303
ZPS1,Q12512
ZRC1,P20107
ZRG17,P53735
ZRG8,P40021
ZRT1,P32804
ZRT2,Q12436
ZRT3,P34240
ZTA1,P38230
ZUO1,P32527
ZWF1,P11412
Q0010,Q9ZZX9
Q0017,Q9ZZX8
Q0032,Q9ZZX7
Q0092,Q35811
Q0142,Q9ZZW4
Q0143,Q9ZZW3
Q0144,Q9ZZW2
Q0182,Q9ZZW1
Q0255,P03881
Q0297,Q9ZZV8
YAL004W,P39703
YAL016C-A,A0A023PYC6
YAL016C-B,P0C1V3
YAL019W-A,A0A023PXA5
YAL026C-A,A0A023PXH4
YAL031W-A,A0A023PZ94
YAL034C-B,O13515
YAL037C-A,Q3E741
YAL037C-B,Q8TGR8
YAL037W,P39728
YAL042C-A,O13514
YAL045C,P39725
YAL047W-A,A0A023PZE2
YAL056C-A,O13513
YAL059C-A,A0A023PYD0
YAL063C-A,Q3E791
YAL064W,P39711
YAL064W-B,O13512
YAL065C,O13511
YAL066W,P39710
YAL067W-A,Q8TGK6
YAL068W-A,Q8TGK7
YAL069W,O13588
YAR019W-A,A0A023PXB0
YAR023C,D6VPM8
YAR028W,P39548
YAR029W,P39549
YAR030C,P39550
YAR035C-A,Q8TGV0
YAR047C,P39557
YAR053W,P39559
YAR060C,P0CX88
YAR061W,P0CX90
YAR062W,P0CI66
YAR064W,P39563
YAR066W,P0CX18
YAR068W,P39564
YAR069C,P0CX92
YAR070C,P39566
YAR075W,O42831
YBL006W-A,Q8TGQ6
YBL008W-A,Q3E821
YBL010C,P32788
YBL012C,P38209
YBL028C,P38202
YBL029C-A,Q3E756
YBL029W,P38201
YBL036C,P38197
YBL039C-A,P0C5K9
YBL039W-B,P0C268
YBL044W,P38194
YBL053W,P38190
YBL055C,P34220
YBL059W,P34224
YBL062W,P38189
YBL065W,P38188
YBL068W-A,P0C5L1
YBL070C,P38186
YBL071C-B,Q8TGU8
YBL071C,P38185
YBL073W,P38184
YBL077W,P38183
YBL081W,P38180
YBL083C,P38178
YBL086C,P38177
YBL094C,P38173
YBL096C,P38171
YBL100C,P38168
YBL100W-C,P0C269
YBL107W-A,Q6B113
YBL108W,P38161
YBL109W,P89495
YBL111C,Q3E7Y5
YBL112C,Q3E7Y4
YBL113C,Q7M4S9
YBL113W-A,Q8TGK5
YBR012C,P38214
YBR013C,P38215
YBR016W,P38216
YBR027C,P38220
YBR032W,P38223
YBR051W,P38233
YBR053C,P38235
YBR056C-B,P0C5L0
YBR056W-A,I2HB52
YBR056W,P38081
YBR062C,P38239
YBR063C,P38083
YBR064W,P38240
YBR071W,P38243
YBR072C-A,Q3E794
YBR076C-A,P0C5L2
YBR085C-A,O43137
YBR089W,P38252
YBR090C,P38253
YBR096W,P38256
YBR099C,P38258
YBR103C-A,P0C5L3
YBR109W-A,P90471
YBR113W,P38267
YBR116C,P38268
YBR121C-A,P0C5L4
YBR124W,P38269
YBR126W-A,Q8TGU7
YBR126W-B,A0A023PXH5
YBR131C-A,Q8TGQ5
YBR134W,P38275
YBR137W,P38276
YBR138C,P38277
YBR139W,P38109
YBR141W-A,Q8TGQ4
YBR144C,P34215
YBR174C,P38294
YBR178W,P38296
YBR182C-A,Q8TGU6
YBR184W,P38299
YBR190W,P38303
YBR191W-A,P0C5L5
YBR196C-A,Q3E820
YBR196C-B,Q3E778
YBR197C,P38306
YBR200W-A,Q3E755
YBR201C-A,Q2V2Q3
YBR206W,P38309
YBR209W,P38311
YBR219C,P38317
YBR220C,P38318
YBR221W-A,Q3E781
YBR223W-A,Q8TGQ3
YBR224W,P38320
YBR225W,P38321
YBR226C,P38322
YBR230W-A,Q3E762
YBR232C,P38327
YBR238C,P38330
YBR241C,P38142
YBR242W,P38331
YBR255C-A,Q3E776
YBR259W,P38338
YBR277C,P38350
YBR284W,P38150
YBR285W,P38354
YBR287W,P38355
YBR292C,P38357
YBR296C-A,Q8TGU5
YBR298C-A,Q8TGK4
YBR300C,P38362
YCL001W-A,P87012
YCL001W-B,Q96VH2
YCL002C,P25565
YCL012C,Q8J0M4
YCL021W-A,Q96VH3
YCL021W,P25561
YCL022C,P25562
YCL023C,P25563
YCL041C,P25571
YCL042W,P25572
YCL046W,P25575
YCL048W-A,Q2V2Q2
YCL049C,P25577
YCL065W,P37264
YCL068C,P25593
YCL076W,P25602
YCR001W,P25347
YCR006C,P25350
YCR007C,P25354
YCR013C,P25614
YCR016W,P25617
YCR018C-A,Q96VH1
YCR022C,P25620
YCR023C,P25351
YCR024C-B,Q3E7Z8
YCR025C,P25352
YCR038W-A,Q96VG8
YCR041W,P37265
YCR043C,P25361
YCR045W-A,Q8TGQ2
YCR047W-A,Q8TGQ1
YCR049C,P25629
YCR050C,P25630
YCR051W,P25631
YCR061W,P25639
YCR064C,P25640
YCR075W-A,Q3E830
YCR081C-A,Q8TGQ0
YCR085W,P25650
YCR087C-A,P37263
YCR087W,P25652
YCR090C,P25654
YCR095W-A,Q3E787
YCR097W-A,Q96VG6
YCR099C,P25657
YCR100C,P25606
YCR101C,P25607
YCR102C,P25608
YCR102W-A,Q96VG5
YCR108C,Q3E819
YDL007C-A,Q2V2Q0
YDL009C,Q12210
YDL011C,Q12023
YDL012C,Q12489
YDL016C,Q12115
YDL022C-A,P0C5L6
YDL023C,Q12264
YDL025W-A,Q8TGP7
YDL026W,Q12147
YDL032W,Q12281
YDL034W,Q12448
YDL041W,Q12352
YDL050C,Q07355
YDL057W,Q07379
YDL062W,Q07410
YDL068W,Q07435
YDL071C,Q07438
YDL073W,Q07454
YDL085C-A,Q3E7B7
YDL086C-A,Q8TGP8
YDL086W,Q07505
YDL094C,Q07509
YDL109C,Q12103
YDL114W,Q07530
YDL114W-A,P0C5M5
YDL118W,Q07535
YDL124W,Q07551
YDL129W,Q07555
YDL144C,Q07589
YDL152W,Q12394
YDL157C,Q12082
YDL158C,Q12047
YDL159C-B,Q8TGP9
YDL159W-A,Q3E774
YDL162C,Q12307
YDL163W,Q12148
YDL172C,Q12135
YDL176W,Q12027
YDL177C,Q12257
YDL180W,Q12301
YDL183C,P48569
YDL185C-A,P0C5M4
YDL186W,P48568
YDL187C,Q07613
YDL196W,Q12187
YDL199C,Q12407
YDL206W,Q12424
YDL211C,Q12121
YDL213W-A,Q00590
YDL218W,Q07629
YDL221W,Q07649
YDL228C,Q07658
YDL240C-A,P0C5L8
YDL241W,Q07738
YDL242W,Q07746
YDL247W-A,P0C5L9
YDR003W-A,Q3E7Z7
YDR008C,A0A023PZ99
YDR010C,Q12426
YDR015C,Q12195
YDR018C,Q12185
YDR029W,Q12111
YDR034C-A,P0C289
YDR034W-B,Q6Q5X2
YDR042C,Q03205
YDR048C,A0A023PZE6
YDR053W,Q07790
YDR061W,Q12298
YDR089W,P38966
YDR090C,Q03193
YDR094W,A0A023PYD3
YDR095C,Q03831
YDR102C,Q03864
YDR109C,Q04585
YDR114C,Q04597
YDR115W,Q04598
YDR118W-A,P0C5L7
YDR124W,Q04608
YDR131C,Q03899
YDR132C,Q03900
YDR133C,Q03904
YDR149C,A0A023PXH9
YDR154C,A0A023PZA4
YDR157W,A0A023PZE8
YDR169C-A,Q3E789
YDR179W-A,Q03983
YDR182W-A,Q3E796
YDR183C-A,P0C5M3
YDR187C,A0A023PYD7
YDR193W,P0C5E0
YDR194W-A,Q3E818
YDR199W,A0A023PXB9
YDR203W,A0A023PXI4
YDR209C,Q03480
YDR210W,Q03482
YDR215C,Q12240
YDR220C,Q04923
YDR222W,Q04925
YDR230W,A0A023PZA9
YDR239C,Q03780
YDR246W-A,Q3E763
YDR248C,Q03786
YDR249C,Q03787
YDR250C,Q03788
YDR262W,Q12331
YDR269C,P87281
YDR271C,P87282
YDR274C,P87283
YDR278C,Q05612
YDR286C,Q05530
YDR290W,P87280
YDR306C,Q06640
YDR320W-B,P0C5M0
YDR327W,P87288
YDR338C,Q05497
YDR340W,Q05503
YDR341C,Q05506
YDR344C,Q05510
YDR354C-A,Q8TGP6
YDR355C,P87285
YDR366C,P87287
YDR371C-A,P0C5M1
YDR381C-A,Q3E6R5
YDR387C,Q04162
YDR391C,Q04170
YDR396W,O13522
YDR401W,O13523
YDR406W-A,P0C5M2
YDR413C,P87266
YDR415C,Q04033
YDR417C,P87267
YDR426C,P87268
YDR431W,Q04069
YDR433W,P87269
YDR442W,P87270
YDR444W,Q04093
YDR445C,Q04100
YDR455C,P87271
YDR461C-A,Q2V2P7
YDR464C-A,Q8TGP5
YDR467C,P87264
YDR476C,Q03362
YDR491C,Q03418
YDR509W,P87272
YDR510C-A,Q8TGR7
YDR514C,Q04408
YDR521W,P87273
YDR524C-A,Q8TGR6
YDR524C-B,Q3E6R4
YDR524W-C,P0C1Z1
YDR526C,P87274
YDR535C,Q04434
YDR537C,P87261
YDR541C,Q03049
YDR543C,Q03051
YDR544C,Q03057
YDR545C-A,P0CL37
YEL008C-A,Q8TGP3
YEL008W,P40001
YEL009C-A,A0A023PZF2
YEL010W,P40000
YEL014C,P39999
YEL018C-A,A0A023PYD9
YEL020C-B,P0C5M6
YEL023C,P39992
YEL025C,P39991
YEL028W,P39989
YEL030C-A,Q8TGR5
YEL032C-A,Q8TGP4
YEL034C-A,Q02217
YEL043W,P32618
YEL045C,P32616
YEL050W-A,P0C5M7
YEL053W-A,A0A023PXC2
YEL067C,P39978
YEL068C,P39977
YEL073C,P39974
YEL074W,P39973
YEL075C,P39972
YEL075W-A,P89888
YEL076C,P39971
YEL076C-A,P0CX16
YEL077C,Q3E7X8
YEL077W-A,P0CX95
YER006C-A,A0A023PXI8
YER010C,P40011
YER023C-A,Q8TGP2
YER034W,P40022
YER039C-A,P0CD97
YER046W-A,A0A023PZF5
YER053C-A,Q3E7B0
YER066C-A,P87263
YER067C-A,A0A023PYE4
YER068C-A,A0A023PXC7
YER076C,P40049
YER076W-A,A0A023PXJ3
YER078W-A,Q3E7A2
YER079C-A,A0A023PZB8
YER079W,P40052
YER084W,P40057
YER084W-A,A0A023PZG0
YER085C,P40058
YER087C-A,A0A023PYE9
YER088C-A,A0A023PXD3
YER088W-B,Q8TGR4
YER090C-A,P0C5M8
YER091C-A,Q02590
YER097W,P40062
YER107W-A,A0A023PXJ7
YER119C-A,P87191
YER121W,P40076
YER130C,P39959
YER133W-A,A0A023PZC3
YER134C,P40081
YER135C,P40082
YER137C,P40083
YER137W-A,A0A023PZG5
YER138W-A,P0C270
YER145C-A,A0A023PYF4
YER147C-A,A0A023PXD5
YER148W-A,A0A023PXK2
YER152C,P10356
YER152W-A,A0A023PZC7
YER156C,P40093
YER158C,P40095
YER158W-A,Q8TGR3
YER165C-A,A0A023PZH1
YER172C-A,A0A023PYF7
YER175W-A,Q8TGU4
YER181C,P40097
YER186C,P40101
YER187W,P40102
YER188C-A,P0C0V2
YER188W,P40103
YER189W,P40104
YER190C-A,P0CL27
YER190C-B,P0CX94
YFL012W,P43580
YFL012W-A,Q03186
YFL013W-A,Q03187
YFL015C,P43578
YFL015W-A,A0A023PXD9
YFL019C,P43576
YFL021C-A,A0A023PXK7
YFL031C-A,Q8TGU3
YFL032W,P43566
YFL040W,P43562
YFL041W-A,Q3E817
YFL051C,P43552
YFL057C,P43546
YFL063W,P43541
YFL064C,P43540
YFL065C,P43539
YFL066C,P43538
YFL067W,P43537
YFL068W,P0CX99
YFR006W,P43590
YFR009W-A,P0C5M9
YFR010W-A,P0C5N0
YFR012W-A,Q3E838
YFR016C,P43597
YFR018C,P43599
YFR032C-B,Q8TGU2
YFR034W-A,Q8TGR2
YFR035C,P43608
YFR036W-A,A0A023PZD0
YFR045W,P43617
YFR052C-A,A0A023PZH4
YFR054C,P43622
YFR056C,P43624
YFR057W,P43625
YGL006W-A,Q3E802
YGL007C-A,Q8TGU0
YGL014C-A,P0C5N1
YGL015C,P33199
YGL024W,P53190
YGL034C,P53186
YGL036W,P53185
YGL039W,P53183
YGL041C,P53182
YGL041C-B,Q3E750
YGL041W-A,P0C5N3
YGL042C,P53181
YGL052W,P53175
YGL063C-A,Q8TGP0
YGL069C,P53162
YGL072C,P53161
YGL074C,P53160
YGL081W,P53156
YGL082W,P53155
YGL088W,P53151
YGL102C,P53143
YGL108C,P53139
YGL109W,P53138
YGL114W,P53134
YGL117W,P53133
YGL118C,P53132
YGL123C-A,Q8TGP1
YGL132W,P53126
YGL138C,P53122
YGL140C,P53120
YGL149W,P53116
YGL152C,P53113
YGL159W,P53110
YGL165C,P53106
YGL176C,P46945
YGL177W,P53105
YGL182C,P53103
YGL185C,P53100
YGL188C,P53098
YGL188C-A,Q8TGU1
YGL193C,P53097
YGL194C-A,Q2V2P6
YGL199C,P53092
YGL204C,P53089
YGL214W,P53087
YGL217C,P53085
YGL218W,P53084
YGL230C,P53074
YGL235W,P53071
YGL239C,P53069
YGL242C,P53066
YGL258W-A,Q3E740
YGL260W,P53056
YGL262W,P53054
YGR011W,P53205
YGR016W,P53209
YGR017W,P53210
YGR018C,P53211
YGR021W,P53212
YGR022C,P53213
YGR025W,P53216
YGR026W,P53217
YGR035C,P53222
YGR035W-A,Q45U48
YGR039W,P53225
YGR042W,P53227
YGR045C,P53229
YGR050C,P53231
YGR051C,P53232
YGR053C,P53234
YGR054W,P53235
YGR064W,P53240
YGR066C,P53242
YGR067C,P53243
YGR068W-A,Q8TGN8
YGR069W,P53245
YGR073C,P53247
YGR079W,P53249
YGR107W,P53263
YGR111W,P53265
YGR114C,P53268
YGR115C,P53269
YGR117C,P53270
YGR121W-A,Q3E816
